Title,Reference number,Published,Last updated
Balloon cryoablation for squamous dysplasia of the oesophagus,IPG683,28-Oct-20,28-Oct-20
Tegaderm CHG securement dressing for vascular access sites,MIB231,27-Oct-20,27-Oct-20
Nivolumab for advanced squamous non-small-cell lung cancer after chemotherapy,TA655,21-Oct-20,21-Oct-20
Volanesorsen for treating familial chylomicronaemia syndrome,HST13,21-Oct-20,21-Oct-20
Heavy menstrual bleeding,QS47,26-Sep-13,16-Oct-20
Osimertinib for treating EGFR T790M mutation-positive advanced non-small-cell lung cancer,TA653,14-Oct-20,14-Oct-20
Osimertinib for untreated EGFR mutation-positive non-small-cell lung cancer,TA654,14-Oct-20,14-Oct-20
SEM Scanner 200 for preventing pressure ulcers,MTG51,14-Oct-20,14-Oct-20
Rheumatoid arthritis in adults: management,NG100,11-Jul-18,12-Oct-20
Behaviour change: digital and mobile health interventions,NG183,07-Oct-20,07-Oct-20
Pembrolizumab with axitinib for untreated advanced renal cell carcinoma,TA650,30-Sep-20,30-Sep-20
Naldemedine for treating opioid-induced constipation,TA651,30-Sep-20,30-Sep-20
Polatuzumab vedotin with rituximab and bendamustine for treating relapsed or refractory diffuse large B-cell lymphoma,TA649,23-Sep-20,23-Sep-20
Transcranial magnetic stimulation for auditory hallucinations,IPG680,23-Sep-20,23-Sep-20
Novii Wireless Patch System for maternal and fetal monitoring,MIB228,23-Sep-20,23-Sep-20
Neuropathic pain in adults: pharmacological management in non-specialist settings,CG173,20-Nov-13,22-Sep-20
t:slim X2 insulin pump for managing blood glucose levels in type 1 diabetes,MIB227,22-Sep-20,22-Sep-20
Insect bites and stings: antimicrobial prescribing,NG182,22-Sep-20,22-Sep-20
Dupilumab for treating chronic rhinosinusitis with nasal polyps (terminated appraisal),TA648,09-Sep-20,09-Sep-20
Axonics sacral neuromodulation system for treating refractory overactive bladder,MTG50,03-Sep-20,03-Sep-20
Glasdegib with chemotherapy for untreated acute myeloid leukaemia (terminated appraisal),TA646,02-Sep-20,02-Sep-20
Eculizumab for treating relapsing neuromyelitis optica (terminated appraisal),TA647,02-Sep-20,02-Sep-20
Avelumab with axitinib for untreated advanced renal cell carcinoma,TA645,02-Sep-20,02-Sep-20
Implantable cardiac monitors to detect atrial fibrillation after cryptogenic stroke,DG41,02-Sep-20,02-Sep-20
Helge for detecting haemolysis,MIB225,01-Sep-20,01-Sep-20
Community pharmacies: promoting health and wellbeing,QS196,28-Aug-20,28-Aug-20
Faltering growth,QS197,28-Aug-20,28-Aug-20
High-sensitivity troponin tests for the early rule out of NSTEMI,DG40,26-Aug-20,26-Aug-20
FebriDx for C-reactive protein and myxovirus resistance protein A testing,MIB224,26-Aug-20,26-Aug-20
Anaphylaxis: assessment and referral after emergency treatment,CG134,14-Dec-11,24-Aug-20
Perioperative care in adults,NG180,19-Aug-20,19-Aug-20
Rehabilitation for adults with complex psychosis,NG181,19-Aug-20,19-Aug-20
Surgical site infections: prevention and treatment,NG125,11-Apr-19,19-Aug-20
Brentuximab vedotin in combination for untreated systemic anaplastic large cell lymphoma,TA641,12-Aug-20,12-Aug-20
Gilteritinib for treating relapsed or refractory acute myeloid leukaemia,TA642,12-Aug-20,12-Aug-20
Entrectinib for treating ROS1-positive advanced non-small-cell lung cancer,TA643,12-Aug-20,12-Aug-20
Entrectinib for treating NTRK fusion-positive solid tumours,TA644,12-Aug-20,12-Aug-20
Deep brain stimulation for refractory epilepsy in adults,IPG678,12-Aug-20,12-Aug-20
Implanted vagus nerve stimulation for treatment-resistant depression,IPG679,12-Aug-20,12-Aug-20
Healthy.io test for home testing of urine albumin to creatinine ratio,MIB221,11-Aug-20,11-Aug-20
pCONUS2 Bifurcation Aneurysm Implant for complex intracranial aneurysms,MIB222,11-Aug-20,11-Aug-20
Spartan RX point-of-care CYP2C19 test to guide treatment in acute coronary syndrome,MIB223,11-Aug-20,11-Aug-20
Decision making and mental capacity,QS194,11-Aug-20,11-Aug-20
Treosulfan with fludarabine for malignant disease before allogeneic stem cell transplant,TA640,05-Aug-20,05-Aug-20
Transcranial magnetic stimulation for obsessive-compulsive disorder,IPG676,05-Aug-20,05-Aug-20
"Electrical stimulation to improve muscle strength in chronic respiratory conditions, chronic heart failure and chronic kidney disease",IPG677,05-Aug-20,05-Aug-20
Renal and ureteric stones,QS195,29-Jul-20,29-Jul-20
Artificial iris insertion for acquired aniridia,IPG674,22-Jul-20,22-Jul-20
Artificial iris insertion for congenital aniridia,IPG675,22-Jul-20,22-Jul-20
Remsima (infliximab biosimilar) for subcutaneous injection for managing rheumatoid arthritis,ES29,21-Jul-20,21-Jul-20
Specialist neonatal respiratory care for babies born preterm,QS193,15-Jul-20,15-Jul-20
CFHealthHub for managing cystic fibrosis during the COVID-19 pandemic,MIB219,10-Jul-20,10-Jul-20
Atezolizumab with carboplatin and etoposide for untreated extensive-stage small-cell lung cancer,TA638,01-Jul-20,01-Jul-20
"Atezolizumab with nab-paclitaxel for untreated PD-L1-positive, locally advanced or metastatic, triple-negative breast cancer",TA639,01-Jul-20,01-Jul-20
Daratumumab with lenalidomide and dexamethasone for untreated multiple myeloma (terminated appraisal),TA634,30-Jun-20,30-Jun-20
Ramucirumab with erlotinib for untreated EGFR-positive metastatic non-small-cell lung cancer (terminated appraisal),TA635,30-Jun-20,30-Jun-20
Eculizumab for treating refractory myasthenia gravis (terminated appraisal),TA636,30-Jun-20,30-Jun-20
Ranibizumab for treating diabetic retinopathy (terminated appraisal),TA637,30-Jun-20,30-Jun-20
Avatrombopag for treating thrombocytopenia in people with chronic liver disease needing a planned invasive procedure,TA626,24-Jun-20,24-Jun-20
Rezum for treating lower urinary tract symptoms secondary to benign prostatic hyperplasia,MTG49,24-Jun-20,24-Jun-20
MolecuLight i:X for wound imaging,MIB212,18-Jun-20,18-Jun-20
Actim Pancreatitis for diagnosing acute pancreatitis,MIB218,18-Jun-20,18-Jun-20
Ustekinumab for treating moderately to severely active ulcerative colitis,TA633,17-Jun-20,17-Jun-20
"Tests to help assess risk of acute kidney injury for people being considered for critical care admission (ARCHITECT and Alinity i Urine NGAL assays, BioPorto NGAL test and NephroCheck test)",DG39,17-Jun-20,17-Jun-20
Generalised anxiety disorder and panic disorder in adults: management,CG113,26-Jan-11,15-Jun-20
Archimedes for biopsy of suspected lung cancer,MIB211,11-Jun-20,11-Jun-20
Intravenous fluid therapy in children and young people in hospital,NG29,09-Dec-15,11-Jun-20
Trastuzumab emtansine for adjuvant treatment of HER2-positive early breast cancer,TA632,10-Jun-20,10-Jun-20
"Joint replacement (primary): hip, knee and shoulder",NG157,04-Jun-20,04-Jun-20
Larotrectinib for treating NTRK fusion-positive solid tumours,TA630,27-May-20,27-May-20
Cytokine adsorption devices for treating respiratory failure in people with COVID-19,MIB217,21-May-20,21-May-20
Lorlatinib for previously treated ALK-positive advanced non-small-cell lung cancer,TA628,13-May-20,13-May-20
Obinutuzumab with bendamustine for treating follicular lymphoma after rituximab,TA629,13-May-20,13-May-20
PneuX to prevent ventilator-associated pneumonia,MTG48,08-Apr-20,08-Apr-20
Lifelight First for monitoring vital signs,MIB213,08-Apr-20,08-Apr-20
Lenalidomide with rituximab for previously treated follicular lymphoma,TA627,07-Apr-20,07-Apr-20
Abdominal aortic aneurysm: diagnosis and management,NG156,19-Mar-20,19-Mar-20
Artificial intelligence for analysing CT brain scans,MIB207,17-Mar-20,17-Mar-20
NATROX oxygen wound therapy for managing diabetic foot ulcers and complex or chronic non-healing wounds,MIB208,17-Mar-20,17-Mar-20
TUC Safety Valve to prevent balloon inflation in the urethra during transurethral catheterisation,MIB210,17-Mar-20,17-Mar-20
Tinnitus: assessment and management,NG155,11-Mar-20,11-Mar-20
Cor-Knot for tying suture knots in valve surgery,MIB206,10-Mar-20,10-Mar-20
Recombinant human parathyroid hormone for treating hypoparathyroidism (terminated appraisal),TA625,04-Mar-20,04-Mar-20
Bilateral cervicosacropexy (CESA) or vaginosacropexy (VASA) using mesh for pelvic organ prolapse,IPG669,04-Mar-20,04-Mar-20
Cyanoacrylate glue occlusion for varicose veins,IPG670,04-Mar-20,04-Mar-20
MRI-guided laser interstitial thermal therapy for drug-resistant epilepsy,IPG671,04-Mar-20,04-Mar-20
Selective internal radiation therapy for unresectable colorectal metastases in the liver,IPG672,04-Mar-20,04-Mar-20
Intrapartum care: existing medical conditions and obstetric complications,QS192,28-Feb-20,28-Feb-20
Impetigo: antimicrobial prescribing,NG153,26-Feb-20,26-Feb-20
Neonatal parenteral nutrition,NG154,26-Feb-20,26-Feb-20
Peginterferon beta-1a for treating relapsing–remitting multiple sclerosis,TA624,19-Feb-20,19-Feb-20
SepsiTest assay for rapidly identifying bloodstream bacteria and fungi,DG20,10-Feb-16,19-Feb-20
National Early Warning Score systems that alert to deteriorating adult patients in hospital,MIB205,18-Feb-20,18-Feb-20
Patiromer for treating hyperkalaemia,TA623,13-Feb-20,13-Feb-20
Sotagliflozin with insulin for treating type 1 diabetes,TA622,12-Feb-20,12-Feb-20
Antenatal and postnatal mental health: clinical management and service guidance,CG192,17-Dec-14,11-Feb-20
Episcissors-60 for mediolateral episiotomy,MTG47,11-Feb-20,11-Feb-20
Leg ulcer infection: antimicrobial prescribing,NG152,11-Feb-20,11-Feb-20
Cerebral palsy in adults,QS191,31-Jan-20,31-Jan-20
Fetoscopic prenatal repair for open neural tube defects in the fetus,IPG667,29-Jan-20,29-Jan-20
Open prenatal repair for open neural tube defects in the fetus,IPG668,29-Jan-20,29-Jan-20
Reducing the risk of transmission of Creutzfeldt–Jakob disease (CJD) from surgical instruments used for interventional procedures on high-risk tissues,IPG666,22-Jan-20,22-Jan-20
Supporting adult carers,NG150,22-Jan-20,22-Jan-20
Virtual Touch Quantification to diagnose and monitor liver fibrosis in chronic hepatitis B and C,MTG27,23-Sep-15,17-Jan-20
Atezolizumab with carboplatin and nab-paclitaxel for untreated advanced non-squamous non-small-cell lung cancer (terminated appraisal),TA618,15-Jan-20,15-Jan-20
Flu vaccination: increasing uptake,QS190,09-Jan-20,09-Jan-20
Rheumatoid arthritis in over 16s,QS33,28-Jun-13,09-Jan-20
Lusutrombopag for treating thrombocytopenia in people with chronic liver disease needing a planned invasive procedure,TA617,08-Jan-20,08-Jan-20
Indoor air quality at home,NG149,08-Jan-20,08-Jan-20
Cannabidiol with clobazam for treating seizures associated with Dravet syndrome,TA614,18-Dec-19,18-Dec-19
Cannabidiol with clobazam for treating seizures associated with Lennox–Gastaut syndrome,TA615,18-Dec-19,18-Dec-19
"Antimicrobial prescribing: ceftolozane with tazobactam for treating hospital-acquired pneumonia, including ventilator-associated pneumonia",ES22,18-Dec-19,18-Dec-19
Balloon dilation for chronic eustachian tube dysfunction,IPG665,18-Dec-19,18-Dec-19
LQD Spray for treating acute and chronic wounds,MIB202,17-Dec-19,17-Dec-19
PulmoVista 500 for monitoring ventilation in critical care,MIB203,17-Dec-19,17-Dec-19
Lung cancer in adults,QS17,26-Mar-12,13-Dec-19
eXroid for internal haemorrhoids,MIB201,10-Dec-19,10-Dec-19
PIUR tUS for abdominal aortic aneurysm surveillance and endovascular aneurysm repair endoleak detection,MIB200,09-Dec-19,09-Dec-19
gammaCore for cluster headache,MTG46,03-Dec-19,03-Dec-19
Optowire for measuring fractional flow reserve,MIB199,03-Dec-19,03-Dec-19
Cerliponase alfa for treating neuronal ceroid lipofuscinosis type 2,HST12,27-Nov-19,27-Nov-19
Irreversible electroporation for primary liver cancer,IPG664,27-Nov-19,27-Nov-19
Diverticular disease: diagnosis and management,NG147,27-Nov-19,27-Nov-19
AmnioSense for unexplained vaginal wetness in pregnancy,MIB198,26-Nov-19,26-Nov-19
"Neratinib for extended adjuvant treatment of hormone receptor-positive, HER2-positive early stage breast cancer after adjuvant trastuzumab",TA612,20-Nov-19,20-Nov-19
Antimicrobial prescribing: meropenem with vaborbactam,ES21,20-Nov-19,20-Nov-19
Workplace health: long-term sickness absence and capability to work,NG146,20-Nov-19,20-Nov-19
Pentosan polysulfate sodium for treating bladder pain syndrome,TA610,13-Nov-19,13-Nov-19
Point-of-care creatinine devices to assess kidney function before CT imaging with intravenous contrast,DG37,13-Nov-19,13-Nov-19
Rapid tests for group A streptococcal infections in people with a sore throat,DG38,13-Nov-19,13-Nov-19
Ibrutinib with rituximab for treating Waldenstrom's macroglobulinaemia (terminated appraisal),TA608,30-Oct-19,30-Oct-19
Ramucirumab for treating unresectable hepatocellular carcinoma after sorafenib (terminated appraisal),TA609,30-Oct-19,30-Oct-19
Gastro-oesophageal reflux disease and dyspepsia in adults: investigation and management,CG184,03-Sep-14,18-Oct-19
Rivaroxaban for preventing atherothrombotic events in people with coronary or peripheral artery disease,TA607,17-Oct-19,17-Oct-19
Lanadelumab for preventing recurrent attacks of hereditary angioedema,TA606,16-Oct-19,16-Oct-19
Midcarpal hemiarthroplasty for wrist arthritis,IPG663,16-Oct-19,16-Oct-19
End of life care for adults: service delivery,NG142,16-Oct-19,16-Oct-19
Diabetic foot problems: prevention and management,NG19,26-Aug-15,11-Oct-19
superDimension Navigation System to help diagnostic sampling of peripheral lung lesions,MIB194,11-Oct-19,11-Oct-19
MR-proADM test for use with clinical deterioration scores in cases of suspected infection,MIB195,11-Oct-19,11-Oct-19
Xeomin (botulinum neurotoxin type A) for treating chronic sialorrhoea,TA605,09-Oct-19,09-Oct-19
Voretigene neparvovec for treating inherited retinal dystrophies caused by RPE65 gene mutations,HST11,09-Oct-19,09-Oct-19
Gastro-oesophageal reflux disease in children and young people: diagnosis and management,NG1,14-Jan-15,09-Oct-19
EXOGEN ultrasound bone healing system for long bone fractures with non-union or delayed healing,MTG12,09-Jan-13,08-Oct-19
Familial hypercholesterolaemia: identification and management,CG71,27-Aug-08,04-Oct-19
Idelalisib for treating refractory follicular lymphoma,TA604,02-Oct-19,02-Oct-19
Cellulitis and erysipelas: antimicrobial prescribing,NG141,27-Sep-19,27-Sep-19
Lenalidomide with bortezomib and dexamethasone for untreated multiple myeloma (terminated appraisal),TA603,25-Sep-19,25-Sep-19
High-intensity focused ultrasound for glaucoma,IPG661,25-Sep-19,25-Sep-19
Bioprosthetic plug insertion for anal fistula,IPG662,25-Sep-19,25-Sep-19
Abortion care,NG140,25-Sep-19,25-Sep-19
Pomalidomide with bortezomib and dexamethasone for treating relapsed or refractory multiple myeloma (terminated appraisal),TA602,25-Sep-19,25-Sep-19
Tegaderm CHG securement dressing for vascular access sites in critically ill adults,MTG25,22-Jul-15,18-Sep-19
Pneumonia (community-acquired): antimicrobial prescribing,NG138,16-Sep-19,16-Sep-19
Pneumonia (hospital-acquired): antimicrobial prescribing,NG139,16-Sep-19,16-Sep-19
Attention deficit hyperactivity disorder: diagnosis and management,NG87,14-Mar-18,13-Sep-19
Implant insertion for prominent ears,IPG660,11-Sep-19,11-Sep-19
InterDry for intertrigo,MIB192,10-Sep-19,10-Sep-19
Suicide prevention,QS189,10-Sep-19,10-Sep-19
SuperNO2VA for the relief of upper airway obstruction in people with obstructive sleep apnoea,MIB190,09-Sep-19,09-Sep-19
Multiple pregnancy: twin and triplet pregnancies,QS46,18-Sep-13,04-Sep-19
Benralizumab for treating severe eosinophilic asthma,TA565,06-Mar-19,03-Sep-19
Risankizumab for treating moderate to severe plaque psoriasis,TA596,21-Aug-19,21-Aug-19
Coexisting severe mental illness and substance misuse,QS188,20-Aug-19,20-Aug-19
Brentuximab vedotin for untreated advanced Hodgkin lymphoma (terminated appraisal),TA594,14-Aug-19,14-Aug-19
Dacomitinib for untreated EGFR mutation-positive non-small-cell lung cancer,TA595,14-Aug-19,14-Aug-19
Patisiran for treating hereditary transthyretin amyloidosis,HST10,14-Aug-19,14-Aug-19
Endovascular insertion of an intrasaccular wire-mesh blood-flow disruption device for intracranial aneurysms,IPG658,14-Aug-19,14-Aug-19
Low-energy contact X-ray brachytherapy (the Papillon technique) for locally advanced rectal cancer,IPG659,14-Aug-19,14-Aug-19
Venous thromboembolism in over 16s: reducing the risk of hospital-acquired deep vein thrombosis or pulmonary embolism,NG89,21-Mar-18,13-Aug-19
Alcohol interventions in secondary and further education,NG135,12-Aug-19,12-Aug-19
PICO negative pressure wound dressings for closed surgical incisions,MTG43,09-May-19,06-Aug-19
Preterm labour and birth,QS135,19-Oct-16,02-Aug-19
Fluocinolone acetonide intravitreal implant for treating recurrent non-infectious uveitis,TA590,31-Jul-19,31-Jul-19
Letermovir for preventing cytomegalovirus disease after a stem cell transplant,TA591,31-Jul-19,31-Jul-19
